a52dec 0.7.4-9
sddm 0.17.0-5
sddm-kcm 5.13.2-1
sdl2 2.0.8-8
sed 4.5-1
semver 5.5.0-1
shadow 4.5-4
shared-mime-info 1.9-1
sierrabreeze-kwin-decoration-git r40.804c759-1
signon-kwallet-extension 18.04.2-1
signon-plugin-oauth2 0.24-1
signon-ui 0.17+20150611-1
signond 8.59-1
skypeforlinux-stable-bin 8.24.0.2-1
slack-desktop 3.2.1-3
slang 2.3.2-1
smartmontools 6.6-1
smbclient 4.8.3-1
snappy 1.1.7-1
solid 5.47.0-1
sonnet 5.47.0-1
sound-theme-freedesktop 0.8-3
speex 1.2.0-1
speexdsp 1.2rc3-3
sqlite 3.24.0-1
startup-notification 0.12-5
sublime-text 3176-1
sudo 1.8.23-2
syntax-highlighting 5.47.0-1
sysfsutils 2.1.0-10
systemd 238.133-4
systemd-sysvcompat 238.133-4
systemsettings 5.13.2-1
taglib 1.11.1-1
talloc 2.1.13-1
tar 1.30-1
tdb 1.3.15-1
termite 13-3
termite-terminfo 13-3
tevent 1:0.9.36-1
texinfo 6.5-1
thermald 1.7.2-1
thin-provisioning-tools 0.7.6-1
thinkfan 0.9.3-1
threadweaver 5.47.0-1
tidy 5.6.0-1
tlp 1.1-1
tmux 2.7-1
trello 0.1.9-1
tslib 1.16-1
ttf-dejavu 2.37-2
ttf-hack 3.003-1
ttf-opensans 1.101-1
tzdata 2018e-1
udisks2 2.7.6-1
unzip 6.0-12
upower 0.99.7-1
usbmuxd 1.1.0+28+g46bdf3e-1
usbutils 010-1
util-linux 2.32-3
v4l-utils 1.14.2-1
vi 1:070224-3
vid.stab 1.1-2
vim 8.1.0022-1
vim-runtime 8.1.0022-1
visual-studio-code-bin 1.24.1-1
vlc 3.0.3-1
volume_key 0.3.10-1
vte-common 0.52.2-1
vulkan-icd-loader 1.1.73.0-1
vulkan-intel 18.1.3-1
wayland 1.15.0-1
wayland-protocols 1.14-1
webkit2gtk 2.20.3-1
webrtc-audio-processing 0.3-2
wget 1.19.5-1
which 2.21-2
wireless_tools 30.pre9-2
woff2 1.0.2-1
wpa_actiond 1.4-3
wpa_supplicant 1:2.6-11
x265 2.8-1
xbitmaps 1.1.2-1
xcb-proto 1.13-1
xcb-util 0.4.0-2
xcb-util-cursor 0.1.3-1
xcb-util-image 0.4.0-2
xcb-util-keysyms 0.4.0-2
